negative,topic,hour,tod,region
0,6,10.0,Morning,Heilongjiang
1,1,9.0,Morning,Shandong
1,3,9.0,Morning,Heilongjiang
0,7,9.0,Morning,Anhui
1,3,9.0,Morning,Henan
0,4,8.0,Morning,Shanghai
1,3,7.0,Morning,New Zealand
0,1,6.0,Morning,Guangdong
1,3,5.0,Overnight,Hunan
1,3,10.0,Morning,Inner Mongolia
1,3,2.0,Overnight,Jiangsu
0,3,23.0,Evening,Guizhou
0,6,11.0,Morning,Guangdong
0,1,18.0,Evening,Guangdong
0,3,23.0,Evening,Guangxi
1,3,22.0,Evening,Hong Kong
1,3,11.0,Morning,Shandong
1,3,11.0,Morning,Yunnan
1,3,19.0,Evening,Shaanxi
1,3,18.0,Evening,Guangdong
1,3,15.0,Afternoon,Yunnan
1,3,11.0,Morning,Hubei
1,3,15.0,Afternoon,Sichuan
1,3,12.0,Afternoon,Hebei
1,3,14.0,Afternoon,Guangxi
1,3,10.0,Morning,Guangdong
1,3,11.0,Morning,Chongqing
0,7,11.0,Morning,Tianjin
1,3,11.0,Morning,Tianjin
1,3,10.0,Morning,Anhui
1,3,11.0,Morning,Hebei
0,6,11.0,Morning,Yunnan
1,5,19.0,Evening,Shaanxi
0,4,11.0,Morning,Shanghai
1,3,11.0,Morning,Shandong
0,8,8.0,Morning,Shaanxi
1,3,20.0,Evening,Hebei
0,8,16.0,Afternoon,Shandong
0,3,17.0,Afternoon,Anhui
0,7,17.0,Afternoon,Guangxi
1,3,21.0,Evening,Guangdong
0,3,15.0,Afternoon,Guangdong
1,6,19.0,Evening,Guangdong
0,3,17.0,Afternoon,Jiangsu
1,5,17.0,Afternoon,Fujian
0,6,18.0,Evening,Zhejiang
0,3,19.0,Evening,Tianjin
1,3,17.0,Afternoon,Jilin
1,3,1.0,Overnight,Zhejiang
1,6,20.0,Evening,South Korea
0,5,19.0,Evening,Zhejiang
1,3,16.0,Afternoon,Shanxi
1,3,18.0,Evening,Hunan
0,3,20.0,Evening,Guangdong
0,3,13.0,Afternoon,Guangdong
1,3,13.0,Afternoon,Fujian
1,6,9.0,Morning,Yunnan
1,3,12.0,Afternoon,United States
0,3,12.0,Afternoon,Inner Mongolia
0,3,9.0,Morning,Shanghai
0,3,3.0,Overnight,Guangxi
0,1,9.0,Morning,Guizhou
0,3,9.0,Morning,Hunan
0,3,9.0,Morning,Hebei
1,6,16.0,Afternoon,Beijing
1,3,9.0,Morning,Jilin
0,3,2.0,Overnight,Zhejiang
1,3,20.0,Evening,Beijing
0,3,9.0,Morning,Shandong
0,6,10.0,Morning,Malaysia
0,4,8.0,Morning,Shanghai
0,3,8.0,Morning,Sichuan
0,3,7.0,Morning,Jiangsu
1,3,7.0,Morning,Liaoning
1,3,5.0,Overnight,Japan
1,3,4.0,Overnight,Sichuan
1,3,3.0,Overnight,Hebei
1,3,2.0,Overnight,Hubei
0,3,1.0,Overnight,United Kingdom
1,3,1.0,Overnight,Xinjiang
1,5,19.0,Evening,Tibet
1,6,1.0,Overnight,Tianjin
0,3,1.0,Overnight,Hubei
0,3,0.0,Overnight,Chongqing
1,3,19.0,Evening,Sichuan
1,3,0.0,Overnight,Fujian
1,3,20.0,Evening,Jiangsu
0,3,23.0,Evening,Hunan
0,3,23.0,Evening,Jilin
0,3,8.0,Morning,Chongqing
0,3,23.0,Evening,Hubei
0,4,17.0,Afternoon,Heilongjiang
0,3,21.0,Evening,Jilin
1,3,2.0,Overnight,Anhui
1,3,2.0,Overnight,Jiangsu
0,3,18.0,Evening,Hubei
0,3,20.0,Evening,Fujian
0,3,16.0,Afternoon,Sichuan
1,3,18.0,Evening,Hunan
0,3,15.0,Afternoon,Zhejiang
0,5,13.0,Afternoon,Anhui
